Description,Physical Harassment,Verbal Harassment,Non-Verbal Harassment,Not Harassment,Cyber Sexual Harassment
A stranger on the bus stared at my chest and made a sucking sound with his lips,0,0,1,0,0
My neighbor stands by his window every morning and watches me leave,0,0,1,0,0
A man in the gym locker room pretended to drop his towel so I would see him naked,0,0,1,0,0
He drew a crude picture of a penis on the bathroom wall and pointed at it when I walked by,0,0,1,0,0
A person in the elevator held the door open and looked me up and down slowly,0,0,1,0,0
She would always sit across from me in the cafeteria and stare without blinking,0,0,1,0,0
A man on the sidewalk made a rude gesture with his tongue and fingers,0,0,1,0,0
He placed his hand on the seat next to mine and slowly moved it closer,0,0,1,0,0
A coworker would always stand behind me and breathe heavily on my neck,0,0,1,0,0
Someone in the parking lot circled my car and left a note with a drawing of a naked woman,0,0,1,0,0
A passenger on the train pressed his body against mine even though there was space,0,0,1,0,0
He would follow me around the grocery store always staying one aisle behind,0,0,1,0,0
A man at the cafe angled his phone to record me without my knowledge,0,0,1,0,0
She would blow kisses from across the street every time I walked home,0,0,1,0,0
A person in the library slid a note under my book with a crude drawing,0,0,1,0,0
He stood outside my classroom window during lectures and stared at me,0,0,1,0,0
A driver slowed down beside me and gestured for me to get in his car,0,0,1,0,0
She would always choose the treadmill next to mine and stare at my reflection,0,0,1,0,0
A man in the waiting room opened a pornographic magazine and angled it toward me,0,0,1,0,0
He would leave sticky notes with lipstick kisses on my locker,0,0,1,0,0
A stranger on the subway made a masturbation gesture while looking at me,0,0,1,0,0
She would always stand close behind me in line and hum a tune,0,0,1,0,0
A person in the elevator pressed the wrong floor to prolong the ride and smiled,0,0,1,0,0
He took a photo of me from behind while I was bending over to pick up my bag,0,0,1,0,0
A man in the park would sit on the bench facing my apartment window every evening,0,0,1,0,0
She would leave her underwear on the clothesline facing my window,0,0,1,0,0
A coworker would always lean over my cubicle and stare at my screen,0,0,1,0,0
He would tap my shoulder repeatedly then pretend to be on his phone,0,0,1,0,0
A person in the theater moved to the seat directly behind me and breathed loudly,0,0,1,0,0
She would always cross her legs provocatively and wink when I looked,0,0,1,0,0
A man on the bus stood over me and leaned down as if to tie his shoe,0,0,1,0,0
He would drive slowly past my house several times a day,0,0,1,0,0
